OID,FID_1,OBJECTID,CrashSever,CollisionT,Weather,Light,RoadSurfac,TrafficCon,City,Year,Fatality,Injury,X,Y,FULLNAME
59,1759,1160,A-Injury,Overturned,Clear,Daylight,"Sand, mud, dirt",Traffic Signal,Savoy,2007,0,1,-88.24919891,40.06900024,Co Rd 1300 N
60,12,2013,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Champaign,2012,0,1,-88.26999664,40.15679932,Co Rd 1900 N
61,565,2566,A-Injury,Overturned,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2015,0,2,-88.27189636,40.15710068,Co Rd 1900 N
62,764,165,A-Injury,Turning,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,2002,0,1,-88.27290344,40.15729904,Co Rd 1900 N
63,1131,532,A-Injury,Turning,Rain,Daylight,Wet,Stop Sign/Flasher,Champaign,2004,0,2,-88.26979828,40.15679932,Co Rd 1900 N
64,1220,621,A-Injury,Turning,Clear,Daylight,Dry,Lane Use Marking,Champaign,2005,0,1,-88.27130127,40.15710068,Co Rd 1900 N
65,1422,823,A-Injury,Fixed object,Clear,Darkness,Dry,Other Warning Sign,Unincorporated,2006,0,2,-88.11730194,40.29779816,Co Rd 2900 N
66,1910,1311,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2008,0,1,-88.05950165,40.29790115,Co Rd 2900 N
67,2042,1443,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2009,0,1,-87.96320343,40.29880142,Co Rd 2900 N
68,2144,1545,A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2009,0,1,-87.95359802,40.298900599999996,Co Rd 2900 N
69,2150,1551,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2009,0,3,-88.04049683,40.29790115,Co Rd 2900 N
70,1262,663,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Urbana,2005,0,1,-97.96430206,36.41090012,Co Rd 0 N
71,1324,725,A-Injury,Parked motor vehicle,Rain,Darkness,Wet,No Controls,Champaign,2005,0,1,-97.96430206,36.41090012,Co Rd 0 N
72,1341,742,A-Injury,Pedestrian,Rain,Darkness,Wet,No Controls,Champaign,2005,0,2,-97.96430206,36.41090012,Co Rd 0 N
73,1389,790,A-Injury,Sideswipe opposite direction,Clear,Daylight,Dry,No Controls,Mahomet,2006,0,2,-97.96430206,36.41090012,Co Rd 0 N
74,1391,792,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Mahomet,2006,0,1,-97.96430206,36.41090012,Co Rd 0 N
75,1486,887,A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,2006,0,1,-97.96430206,36.41090012,Co Rd 0 N
76,1587,988,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Urbana,2006,0,1,-97.96430206,36.41090012,Co Rd 0 N
77,1775,1176,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Urbana,2007,0,1,-97.96430206,36.41090012,Co Rd 0 N
78,2225,1626,A-Injury,Rear end,Snow,Daylight,Snow or slush,No Controls,Champaign,2010,0,1,-97.96430206,36.41090012,Co Rd 0 N
79,182,2183,A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2013,0,1,-88.27140045,40.35520172,Co Rd 3300 N
80,419,2420,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2014,0,1,-88.29019928,40.35509872,Co Rd 3300 N
81,596,2597,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2015,0,2,-88.30919647,40.35469818,Co Rd 3300 N
82,1658,1059,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2007,0,2,-88.29019928,40.35509872,Co Rd 3300 N
83,2286,1687,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2010,0,1,-88.17949677,40.35580063,Co Rd 3300 N
84,1827,1228,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2008,0,1,-88.35179901,40.15670013,Co Rd 1900 N
85,1118,519,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2004,0,2,-88.39409637,40.25979996,Co Rd 2650 N
86,543,2544,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Savoy,2015,0,2,-88.2539978,40.03939819,Co Rd 1100 N
87,1245,646,A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2005,0,1,-88.22869873,40.03979874,Co Rd 1100 N
88,1595,996,A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2007,0,1,-88.21859741,40.03979874,Co Rd 1100 N
89,1908,1309,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2008,0,3,-88.209198,40.03990173,Co Rd 1100 N
90,2151,1552,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Unincorporated,2009,0,3,-88.14279938,40.04029846,Co Rd 1100 N
91,2115,1516,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Unincorporated,2009,0,2,-88.38729858,39.92340088,Co Rd 300 N
92,1592,993,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2007,0,1,-88.08059692,40.09870148,Co Rd 1500 N
93,1636,1037,A-Injury,Turning,Rain,Daylight,Wet,No Controls,Unincorporated,2007,0,3,-88.04769897,40.0909996,Co Rd 1500 N
94,1126,527,A-Injury,Angle,Clear,Dusk,Dry,Stop Sign/Flasher,Unincorporated,2004,0,1,-88.04759979,40.09090042,Co Rd 1425 N
95,645,46,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Unincorporated,2003,0,2,-88.30349731,40.03969955,Co Rd 1100 N
96,877,278,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2000,0,1,-88.30349731,40.03969955,Co Rd 1100 N
97,1610,1011,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2007,0,1,-88.29399872,39.98160172,Co Rd 700 N
98,1409,810,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2006,0,1,-88.10379791,39.923900599999996,Co Rd 300 N
99,1410,811,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2006,0,1,-88.04260254,39.9231987,Co Rd 300 N
100,15,2016,A-Injury,Angle,Clear,Daylight,Dry,Lane Use Marking,Champaign,2012,0,1,-88.25759888,40.11270142,Co Rd 1600 N
101,67,2068,A-Injury,Rear end,Clear,Daylight,Dry,Lane Use Marking,Champaign,2012,0,1,-88.25440216,40.11270142,Co Rd 1600 N
102,82,2083,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Champaign,2012,0,1,-88.24680328,40.11259842,Co Rd 1600 N
103,131,2132,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Champaign,2012,0,1,-88.27709961,40.11289978,Co Rd 1600 N
104,150,2151,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2012,0,1,-88.24680328,40.11259842,Co Rd 1600 N
105,204,2205,A-Injury,Rear end,Clear,Dusk,Dry,No Controls,Champaign,2013,0,2,-88.28209686,40.11289978,Co Rd 1600 N
106,259,2260,A-Injury,Head on,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2013,0,2,-88.31099701,40.11320114,Co Rd 1600 N
107,286,2287,A-Injury,Angle,Clear,Darkness,Dry,Traffic Signal,Champaign,2013,0,2,-88.24680328,40.11259842,Co Rd 1600 N
108,292,2293,A-Injury,Pedestrian,Clear,Darkness,Dry,Lane Use Marking,Champaign,2013,0,1,-88.27259827,40.1128006,Co Rd 1600 N
109,358,2359,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Champaign,2014,0,1,-88.28610229,40.11289978,Co Rd 1600 N
110,510,2511,A-Injury,Rear end,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,2015,0,1,-88.25710297,40.11270142,Co Rd 1600 N
111,529,2530,A-Injury,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2015,0,1,-88.25170135,40.11259842,Co Rd 1600 N
112,547,2548,A-Injury,Pedalcyclist,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2015,0,1,-88.25,40.11259842,Co Rd 1600 N
113,555,2556,A-Injury,Angle,Clear,Darkness,Dry,Traffic Signal,Champaign,2015,0,1,-88.27680206,40.11289978,Co Rd 1600 N
114,556,2557,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Champaign,2015,0,1,-88.28279877,40.11289978,Co Rd 1600 N
115,581,2582,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Champaign,2015,0,1,-88.27680206,40.11289978,Co Rd 1600 N
116,611,12,A-Injury,Other non collision,Clear,Daylight,Dry,No Controls,Champaign,2003,0,1,-88.27239990000001,40.1128006,Co Rd 1600 N
117,631,32,A-Injury,Fixed object,Rain,Daylight,Wet,No Controls,Champaign,2003,0,1,-88.29060364,40.11299896,Co Rd 1600 N
118,635,36,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Champaign,2003,0,2,-88.28170013,40.11289978,Co Rd 1600 N
119,647,48,A-Injury,Turning,Clear,Daylight,Unknown,Traffic Signal,Unincorporated,2003,0,2,-88.29540253,40.11299896,Co Rd 1600 N
120,674,75,A-Injury,Pedestrian,Snow,Dawn,Snow or slush,Traffic Signal,Champaign,2003,0,1,-88.28289795,40.11289978,Co Rd 1600 N
121,714,115,A-Injury,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2002,0,1,-88.29910278,40.11309814,Co Rd 1600 N
122,728,129,A-Injury,Pedalcyclist,Clear,Daylight,Dry,Traffic Signal,Champaign,2002,0,1,-88.28600311,40.11289978,Co Rd 1600 N
123,749,150,A-Injury,Rear end,Clear,Darkness,Dry,Stop Sign/Flasher,Unincorporated,2002,0,2,-88.29540253,40.11299896,Co Rd 1600 N
124,798,199,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2001,0,1,-88.23059845,40.11270142,Co Rd 1600 N
125,832,233,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2001,0,2,-88.28289795,40.11289978,Co Rd 1600 N
126,833,234,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2001,0,2,-88.3144989,40.11330032,Co Rd 1600 N
127,878,279,A-Injury,Parked motor vehicle,Clear,Daylight,Dry,No Controls,Champaign,2000,0,1,-88.23169708,40.11270142,Co Rd 1600 N
128,892,293,A-Injury,Turning,Clear,Daylight,Unknown,Stop Sign/Flasher,Champaign,2000,0,2,-88.3144989,40.11330032,Co Rd 1600 N
129,894,295,A-Injury,Overturned,Clear,Daylight,Dry,Other,Unincorporated,2000,0,1,-88.40779877,40.11320114,Co Rd 1600 N
130,900,301,A-Injury,Pedestrian,Clear,Darkness,Dry,No Controls,Champaign,2000,0,1,-88.2542038,40.11259842,Co Rd 1600 N
131,918,319,A-Injury,Angle,Clear,Daylight,Wet,Stop Sign/Flasher,Champaign,2000,0,1,-88.3144989,40.11330032,Co Rd 1600 N
132,926,327,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2000,0,1,-88.3144989,40.11330032,Co Rd 1600 N
133,928,329,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2000,0,2,-88.3144989,40.11330032,Co Rd 1600 N
134,961,362,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2000,0,1,-88.25350189,40.11259842,Co Rd 1600 N
135,980,381,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Champaign,2000,0,1,-88.24310303,40.11259842,Co Rd 1600 N
136,986,387,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,1999,0,2,-88.23380279999999,40.11270142,Co Rd 1600 N
137,995,396,A-Injury,Angle,Clear,"Darkness, lighted road",Ice,No Controls,Champaign,1999,0,1,-88.28620148,40.11289978,Co Rd 1600 N
138,1007,408,A-Injury,Pedalcyclist,Clear,Daylight,Dry,No Controls,Champaign,1999,0,1,-88.2322998,40.11270142,Co Rd 1600 N
139,1114,515,A-Injury,Angle,Fog/Smoke/Haze,Dawn,Wet,Traffic Signal,Champaign,2004,0,3,-88.3144989,40.11330032,Co Rd 1600 N
140,1115,516,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2004,0,1,-88.28600311,40.11289978,Co Rd 1600 N
141,1116,517,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Champaign,2004,0,3,-88.27839661,40.11289978,Co Rd 1600 N
142,1293,694,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2005,0,1,-88.2542038,40.11259842,Co Rd 1600 N
143,1351,752,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2005,0,1,-88.27999878,40.11289978,Co Rd 1600 N
144,1352,753,A-Injury,Angle,Rain,Darkness,Wet,Traffic Signal,Champaign,2005,0,2,-88.28289795,40.11289978,Co Rd 1600 N
145,1566,967,A-Injury,Turning,Rain,Daylight,Wet,Traffic Signal,Champaign,2006,0,2,-88.27680206,40.11289978,Co Rd 1600 N
146,1567,968,A-Injury,Turning,Rain,Daylight,Dry,Traffic Signal,Champaign,2006,0,1,-88.2786026,40.11289978,Co Rd 1600 N
147,1570,971,A-Injury,Angle,Clear,Daylight,Dry,Lane Use Marking,Champaign,2006,0,1,-88.2335968,40.11270142,Co Rd 1600 N
148,1572,973,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2006,0,2,-88.28620148,40.11289978,Co Rd 1600 N
149,1573,974,A-Injury,Rear end,Rain,"Darkness, lighted road",Wet,Traffic Signal,Champaign,2006,0,2,-88.28279877,40.11289978,Co Rd 1600 N
150,1607,1008,A-Injury,Overturned,Clear,Dawn,Dry,No Controls,Unincorporated,2007,0,1,-88.33439636,40.11330032,Co Rd 1600 N
151,1663,1064,A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Bondville,2007,0,2,-88.35990143,40.11320114,Co Rd 1600 N
152,1709,1110,A-Injury,Rear end,Clear,Daylight,Wet,No Controls,Champaign,2007,0,1,-88.26119995,40.11270142,Co Rd 1600 N
153,1803,1204,A-Injury,Fixed object,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,2008,0,1,-88.27680206,40.11289978,Co Rd 1600 N
154,1932,1333,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Champaign,2008,0,1,-88.27680206,40.11289978,Co Rd 1600 N
155,1955,1356,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2008,0,5,-88.23539734,40.11270142,Co Rd 1600 N
156,1991,1392,A-Injury,Fixed object,Rain,Daylight,Ice,Stop Sign/Flasher,Unincorporated,2008,0,1,-88.33350372,40.11330032,Co Rd 1600 N
157,2007,1408,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Champaign,2009,0,1,-88.24680328,40.11259842,Co Rd 1600 N
158,2021,1422,A-Injury,Rear end,Clear,Daylight,Wet,No Controls,Champaign,2009,0,3,-88.24849701,40.11259842,Co Rd 1600 N
159,2072,1473,A-Injury,Angle,Clear,Daylight,Dry,Other Regualtory Sign,Unincorporated,2009,0,2,-88.33319855,40.11330032,Co Rd 1600 N
160,2180,1581,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2009,0,1,-88.33319855,40.11330032,Co Rd 1600 N
161,2182,1583,A-Injury,Pedalcyclist,Rain,Daylight,Wet,Stop Sign/Flasher,Champaign,2009,0,1,-88.23539734,40.11270142,Co Rd 1600 N
162,2204,1605,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2009,0,3,-88.25,40.11259842,Co Rd 1600 N
163,2262,1663,A-Injury,Pedestrian,Rain,Daylight,Wet,No Controls,Champaign,2010,0,1,-88.25389862,40.11259842,Co Rd 1600 N
164,2289,1690,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2010,0,3,-88.26730347,40.1128006,Co Rd 1600 N
165,2300,1701,A-Injury,Angle,Clear,Daylight,Dry,Lane Use Marking,Champaign,2010,0,1,-88.27259827,40.1128006,Co Rd 1600 N
166,2313,1714,A-Injury,Parked motor vehicle,Clear,Daylight,Dry,Lane Use Marking,Champaign,2010,0,1,-88.25240326,40.11259842,Co Rd 1600 N
167,2323,1724,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2010,0,1,-88.23539734,40.11270142,Co Rd 1600 N
168,2342,1743,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2010,0,1,-88.23650359999999,40.11259842,Co Rd 1600 N
169,31,2032,A-Injury,Rear end,Clear,Darkness,Dry,Traffic Signal,Urbana,2012,0,2,-88.19940186,40.12739944,Co Rd 1700 N
170,35,2036,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Urbana,2012,0,2,-88.19940186,40.12739944,Co Rd 1700 N
171,39,2040,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Urbana,2012,0,2,-88.21949768,40.12739944,Co Rd 1700 N
172,72,2073,A-Injury,Head on,Snow,Darkness,Snow or slush,No Controls,Urbana,2012,0,1,-88.18800354,40.12749863,Co Rd 1700 N
173,105,2106,A-Injury,Angle,Rain,Daylight,Wet,Traffic Signal,Champaign,2012,0,3,-88.24520111,40.12720108,Co Rd 1700 N
174,155,2156,A-Injury,Head on,Clear,Daylight,Dry,No Controls,Champaign,2012,0,2,-88.26049805,40.12720108,Co Rd 1700 N
175,267,2268,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2013,0,3,-88.36969757,40.12760162,Co Rd 1700 N
176,330,2331,A-Injury,Rear end,Snow,"Darkness, lighted road",Snow or slush,No Controls,Champaign,2014,0,1,-88.2766037,40.12739944,Co Rd 1700 N
177,334,2335,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Champaign,2014,0,1,-88.28700256,40.12749863,Co Rd 1700 N
178,338,2339,A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,2014,0,1,-88.26650238,40.12730026,Co Rd 1700 N
179,343,2344,A-Injury,Fixed object,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2014,0,1,-88.24130249,40.12720108,Co Rd 1700 N
180,344,2345,A-Injury,Pedalcyclist,Clear,Daylight,Dry,Traffic Signal,Champaign,2014,0,1,-88.25800323,40.12720108,Co Rd 1700 N
